"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2019-09",13.51162,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2019-10",13.66533,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2019-11",12.78684,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2019-12",12.9749,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-01",13.64692,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-02",13.61371,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-03",12.93108,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-04",15.3689,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-05",16.12027,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-06",17.05717,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-07",16.67143,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-08",15.63258,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-09",15.87663,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-10",16.28952,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2019-09",9.769949,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2019-10",10.61578,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2019-11",10.60789,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2019-12",10.36082,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-01",10.94427,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-02",10.80996,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-03",10.25611,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-04",12.93523,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-05",15.36957,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-06",15.72184,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-07",16.26699,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-08",12.83107,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-09",13.27867,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2020-10",13.99823,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2019-09",13.9,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2019-10",13.2,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2019-11",13.1,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2019-12",12.7,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-01",11.3,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-02",11.7,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-03",15.6,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-04",25.9,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-05",29.5,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-06",28.1,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-07",26.7,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-08",25.6,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-09",20.5,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-10",19.1,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2020-11",18.2,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2019-09",9.7,
