"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","25_74","PC_LF","M","2019-09",3.953051,
"AUS","UNEMP","25_74","PC_LF","M","2019-10",3.913269,
"AUS","UNEMP","25_74","PC_LF","M","2019-11",3.92238,
"AUS","UNEMP","25_74","PC_LF","M","2019-12",3.791198,
"AUS","UNEMP","25_74","PC_LF","M","2020-01",3.943471,
"AUS","UNEMP","25_74","PC_LF","M","2020-02",3.694572,
"AUS","UNEMP","25_74","PC_LF","M","2020-03",4.000312,
"AUS","UNEMP","25_74","PC_LF","M","2020-04",4.970707,
"AUS","UNEMP","25_74","PC_LF","M","2020-05",5.540965,
"AUS","UNEMP","25_74","PC_LF","M","2020-06",5.847467,
"AUS","UNEMP","25_74","PC_LF","M","2020-07",5.839283,
"AUS","UNEMP","25_74","PC_LF","M","2020-08",5.433389,
"AUS","UNEMP","25_74","PC_LF","M","2020-09",5.512115,
"AUS","UNEMP","25_74","PC_LF","M","2020-10",5.395645,
"AUT","UNEMP","25_74","PC_LF","M","2019-09",3.9,
"AUT","UNEMP","25_74","PC_LF","M","2019-10",3.8,
"AUT","UNEMP","25_74","PC_LF","M","2019-11",3.7,
"AUT","UNEMP","25_74","PC_LF","M","2019-12",3.7,
"AUT","UNEMP","25_74","PC_LF","M","2020-01",3.7,
"AUT","UNEMP","25_74","PC_LF","M","2020-02",3.8,
"AUT","UNEMP","25_74","PC_LF","M","2020-03",3.9,
"AUT","UNEMP","25_74","PC_LF","M","2020-04",3.9,
"AUT","UNEMP","25_74","PC_LF","M","2020-05",5,
"AUT","UNEMP","25_74","PC_LF","M","2020-06",5.3,
"AUT","UNEMP","25_74","PC_LF","M","2020-07",5.1,
"AUT","UNEMP","25_74","PC_LF","M","2020-08",4.9,
"AUT","UNEMP","25_74","PC_LF","M","2020-09",5,
"AUT","UNEMP","25_74","PC_LF","M","2020-10",5,
"BEL","UNEMP","25_74","PC_LF","M","2019-09",4.5,
"BEL","UNEMP","25_74","PC_LF","M","2019-10",4.4,
"BEL","UNEMP","25_74","PC_LF","M","2019-11",4.4,
"BEL","UNEMP","25_74","PC_LF","M","2019-12",4.4,
"BEL","UNEMP","25_74","PC_LF","M","2020-01",4.5,
"BEL","UNEMP","25_74","PC_LF","M","2020-02",4.5,
"BEL","UNEMP","25_74","PC_LF","M","2020-03",4.4,
"BEL","UNEMP","25_74","PC_LF","M","2020-04",4.4,
"BEL","UNEMP","25_74","PC_LF","M","2020-05",4.2,
"BEL","UNEMP","25_74","PC_LF","M","2020-06",4.1,
"BEL","UNEMP","25_74","PC_LF","M","2020-07",4.1,
"BEL","UNEMP","25_74","PC_LF","M","2020-08",4.2,
"BEL","UNEMP","25_74","PC_LF","M","2020-09",4.2,
"BEL","UNEMP","25_74","PC_LF","M","2020-10",4.2,
"CAN","UNEMP","25_74","PC_LF","M","2019-09",4.418061,
"CAN","UNEMP","25_74","PC_LF","M","2019-10",4.637635,
"CAN","UNEMP","25_74","PC_LF","M","2019-11",4.947242,
"CAN","UNEMP","25_74","PC_LF","M","2019-12",4.745947,
"CAN","UNEMP","25_74","PC_LF","M","2020-01",4.771777,
"CAN","UNEMP","25_74","PC_LF","M","2020-02",4.813562,
"CAN","UNEMP","25_74","PC_LF","M","2020-03",6.476172,
"CAN","UNEMP","25_74","PC_LF","M","2020-04",10.99568,
"CAN","UNEMP","25_74","PC_LF","M","2020-05",11.44552,
"CAN","UNEMP","25_74","PC_LF","M","2020-06",9.93193,
"CAN","UNEMP","25_74","PC_LF","M","2020-07",8.762674,
"CAN","UNEMP","25_74","PC_LF","M","2020-08",8.072763,
"CAN","UNEMP","25_74","PC_LF","M","2020-09",7.429869,
"CAN","UNEMP","25_74","PC_LF","M","2020-10",7.32836,
"CAN","UNEMP","25_74","PC_LF","M","2020-11",7.104843,
"CZE","UNEMP","25_74","PC_LF","M","2019-09",1.9,
"CZE","UNEMP","25_74","PC_LF","M","2019-10",1.8,
"CZE","UNEMP","25_74","PC_LF","M","2019-11",1.9,
"CZE","UNEMP","25_74","PC_LF","M","2019-12",1.8,
"CZE","UNEMP","25_74","PC_LF","M","2020-01",1.8,
"CZE","UNEMP","25_74","PC_LF","M","2020-02",1.8,
"CZE","UNEMP","25_74","PC_LF","M","2020-03",1.9,
"CZE","UNEMP","25_74","PC_LF","M","2020-04",2,
"CZE","UNEMP","25_74","PC_LF","M","2020-05",2.2,
"CZE","UNEMP","25_74","PC_LF","M","2020-06",2.4,
"CZE","UNEMP","25_74","PC_LF","M","2020-07",2.4,
"CZE","UNEMP","25_74","PC_LF","M","2020-08",2.5,
"CZE","UNEMP","25_74","PC_LF","M","2020-09",2.5,
"CZE","UNEMP","25_74","PC_LF","M","2020-10",2.6,
"DNK","UNEMP","25_74","PC_LF","M","2019-09",4.3,
"DNK","UNEMP","25_74","PC_LF","M","2019-10",4.3,
"DNK","UNEMP","25_74","PC_LF","M","2019-11",4.2,
"DNK","UNEMP","25_74","PC_LF","M","2019-12",4.1,
"DNK","UNEMP","25_74","PC_LF","M","2020-01",4.1,
"DNK","UNEMP","25_74","PC_LF","M","2020-02",4.1,
