"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","UNEMP","15_24","PC_LF","M","2019-09",15.7,
"EA19","UNEMP","15_24","PC_LF","M","2019-10",15.5,
"EA19","UNEMP","15_24","PC_LF","M","2019-11",15.5,
"EA19","UNEMP","15_24","PC_LF","M","2019-12",15.5,
"EA19","UNEMP","15_24","PC_LF","M","2020-01",15.4,
"EA19","UNEMP","15_24","PC_LF","M","2020-02",15.2,
"EA19","UNEMP","15_24","PC_LF","M","2020-03",15.8,
"EA19","UNEMP","15_24","PC_LF","M","2020-04",16.5,
"EA19","UNEMP","15_24","PC_LF","M","2020-05",17.2,
"EA19","UNEMP","15_24","PC_LF","M","2020-06",17.6,
"EA19","UNEMP","15_24","PC_LF","M","2020-07",18.9,
"EA19","UNEMP","15_24","PC_LF","M","2020-08",18.6,
"EA19","UNEMP","15_24","PC_LF","M","2020-09",17.9,
"EA19","UNEMP","15_24","PC_LF","M","2020-10",18,
"SVN","UNEMP","15_24","PC_LF","M","2019-09",8.2,
"SVN","UNEMP","15_24","PC_LF","M","2019-10",8.3,
"SVN","UNEMP","15_24","PC_LF","M","2019-11",8.3,
"SVN","UNEMP","15_24","PC_LF","M","2019-12",8.3,
"SVN","UNEMP","15_24","PC_LF","M","2020-01",10.3,
"SVN","UNEMP","15_24","PC_LF","M","2020-02",10.3,
"SVN","UNEMP","15_24","PC_LF","M","2020-03",10.3,
"SVN","UNEMP","15_24","PC_LF","M","2020-04",16.9,
"SVN","UNEMP","15_24","PC_LF","M","2020-05",16.9,
"SVN","UNEMP","15_24","PC_LF","M","2020-06",16.9,
"SVN","UNEMP","15_24","PC_LF","M","2020-07",13.7,
"SVN","UNEMP","15_24","PC_LF","M","2020-08",13.7,
"SVN","UNEMP","15_24","PC_LF","M","2020-09",13.7,
"ITA","UNEMP","15_24","PC_LF","M","2019-09",28.7,
"ITA","UNEMP","15_24","PC_LF","M","2019-10",27.7,
"ITA","UNEMP","15_24","PC_LF","M","2019-11",28.1,
"ITA","UNEMP","15_24","PC_LF","M","2019-12",28.3,
"ITA","UNEMP","15_24","PC_LF","M","2020-01",28.8,
"ITA","UNEMP","15_24","PC_LF","M","2020-02",28.5,
"ITA","UNEMP","15_24","PC_LF","M","2020-03",27.7,
"ITA","UNEMP","15_24","PC_LF","M","2020-04",26.3,
"ITA","UNEMP","15_24","PC_LF","M","2020-05",28.4,
