"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2019-Q4",5.69462228439091,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2020-Q1",6.30705889372874,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2020-Q2",13.008862929404,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2020-Q3",10.0265252866683,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2020-Q4",9.13569880435804,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2021-Q1",9.00329425794833,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2021-Q2",8.84968132858888,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2021-Q3",8.67077889695375,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2021-Q4",8.46210281372402,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2022-Q1",8.21823640520581,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2022-Q2",7.93235773546768,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2022-Q3",7.59645542798826,
"CAN","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2022-Q4",7.20088345009304,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2019-Q4",3.5314937644941,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2020-Q1",3.8246979565708,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2020-Q2",13.0231333220967,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2020-Q3",8.83184188033299,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2020-Q4",6.83014579387323,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2021-Q1",6.64417802100674,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2021-Q2",6.45821024814016,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2021-Q3",6.1995531246687,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2021-Q4",6.12699273009774,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2022-Q1",5.95274678872349,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2022-Q2",5.73152138469761,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2022-Q3",5.50572862154718,
"USA","UNEMPFORECAST","DEC2020FORECAST","PC_LF","Q","2022-Q4",5.25532354661273,
