"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",7.9609022,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",7.5025826,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",7.0790563,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",7.0461249,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",5.9390721,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",10.624196,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",11.717247,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",12.477829,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",10.870542,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",10.013733,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",14.779063,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",14.457345,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",13.05376,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",11.8891,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",10.406223,
"CAN","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",10.402098,
"CAN","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",10.88314,
"CAN","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",9.860465,
"CAN","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",8.8845015,
"CAN","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",8.6481113,
"CZE","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",20.727884,
"CZE","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",19.187189,
"CZE","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",11.913857,
"CZE","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",9.3599224,
"CZE","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",10.161623,
"DNK","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",8.5385876,
"DNK","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",6.8373957,
"DNK","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",6.8125796,
"DNK","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",6.6664252,
"DNK","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",6.2394319,
"FIN","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",12.149633,
"FIN","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",11.707317,
"FIN","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",13,
"FIN","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",12.234042,
"FIN","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",10.714286,
"FRA","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",15.561263,
"FRA","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",15.868587,
"FRA","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",15.063866,
"FRA","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",14.321804,
"FRA","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",13.481572,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",11.352495,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",10.004822,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",9.1673222,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",8.5388823,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",7.7439661,
"GRC","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",26.264608,
"GRC","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",26.186934,
"GRC","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",23.91394,
"GRC","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",21.974014,
"GRC","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",20.037479,
"HUN","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",15.502582,
"HUN","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",11.782121,
"HUN","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",10.098001,
"HUN","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",8.7703676,
"HUN","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",8.0525532,
"ISL","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",3.9669003,
"ISL","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",2.7797201,
"ISL","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",2.0912006,
"ISL","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",2.7952092,
"ISL","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",3.2297986,
"IRL","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",15.893836,
"IRL","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",10.884036,
"IRL","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",7.8827791,
"IRL","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",6.5684071,
"ITA","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",14.193714,
"ITA","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",14.296636,
"ITA","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",14.285714,
"ITA","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",13.4765,
"ITA","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",12.780911,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",2.7243698,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",2.7628746,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",2.7666306,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",3.2216022,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",3.9066856,
"LUX","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",8.2581673,
"LUX","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",6.9030805,
"LUX","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",6.3986888,
"LUX","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",6.3844604,
"LUX","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",5.5330138,
"MEX","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",3.0821168,
"MEX","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",2.6077018,
"MEX","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",2.342535,
"MEX","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",2.1489182,
"MEX","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",2.3499572,
"NLD","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",9.2927094,
"NLD","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",7.6413312,
"NLD","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",6.5865383,
"NLD","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",5.1204324,
"NLD","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",4.2088528,
"NZL","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",6.1948957,
"NZL","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",5.4138594,
"NZL","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",5.0077043,
"NZL","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",4.5654564,
"NZL","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",4.5935411,
"NOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",7.7164369,
"NOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",7.5275397,
"NOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",7.4969769,
"NOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",6.4973974,
"NOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",5.977437,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",15.541265,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",12.783751,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",11.052631,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",9.353508,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",8.1604424,
"PRT","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",13.029997,
"PRT","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",11.571985,
"PRT","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",9.2736435,
"PRT","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",6.9088902,
"PRT","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",6.4098353,
"SVK","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",34.244297,
"SVK","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",29.025688,
"SVK","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",27.251879,
"SVK","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",27.398344,
"SVK","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",27.90064,
"ESP","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",28.935257,
"ESP","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",26.090702,
"ESP","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",23.371431,
"ESP","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",20.546646,
"ESP","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",18.865707,
"SWE","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",13.072378,
"SWE","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",13.238413,
"SWE","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",13.287424,
"SWE","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",13.808542,
"SWE","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",14.119621,
"CHE","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",9.2884254,
"CHE","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",9.8838015,
"CHE","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",8.5491982,
"CHE","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",8.4972382,
"CHE","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",8.0735178,
"TUR","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",9.073988,
"TUR","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",9.3241167,
"TUR","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",9.0173759,
"TUR","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",9.3173704,
"TUR","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",12.415726,
"GBR","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",6.6850066,
"GBR","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",6.2145991,
"GBR","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",5.6134658,
"GBR","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",4.9519577,
"GBR","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",4.8995299,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",9.2215843,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",8.0993929,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",8.2531586,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",6.6416121,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",6.4897528,
"BRA","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",6.5469174,
"BRA","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",8.7193661,
"BRA","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",10.248816,
"BRA","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",9.7443171,
"CHL","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",5.8461266,
"CHL","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",6.3305607,
"EST","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",11.653179,
"EST","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",11.462599,
"EST","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",10.056347,
"EST","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",8.4085398,
"EST","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",7.8413486,
"ISR","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",6.4823747,
"ISR","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",7.1143379,
"ISR","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",4.7708268,
"ISR","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",4.8706436,
"ISR","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",4.1815953,
"LVA","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",19.635063,
"LVA","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",18.098213,
"LVA","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",15.859162,
"LVA","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",14.649304,
"LVA","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",11.033166,
"RUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",13.09737,
"RUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",13.289113,
"RUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",11.658607,
"RUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",11.42276,
"SVN","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",13.604605,
"SVN","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",13.99581,
"SVN","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",12.050613,
"SVN","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",8.6823301,
"SVN","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",9.1271667,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",12.385787,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",11.758875,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",10.463191,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",9.6110342,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",9.287026,
"COL","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",6.0220852,
"COL","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",5.7889357,
"COL","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",6.0768976,
"COL","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",6.1371231,
"COL","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",7.3364716,
"ARG","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",8.1519899,
"ARG","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",8.3750477,
"IDN","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",1.4742185,
"IDN","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",1.6293354,
"IDN","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",1.5908802,
"LTU","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",23.33691,
"LTU","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",24.763948,
"LTU","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",18.972801,
"LTU","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",15.629261,
"LTU","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",17.273205,
"SAU","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",0.32521245,
"ZAF","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",24.097538,
"ZAF","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",25.311005,
"ZAF","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",26.962688,
"ZAF","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",25.368153,
"CRI","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",7.4151182,
"CRI","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",8.0369253,
"CRI","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",7.0499477,
"CRI","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",7.5474401,
"CRI","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",9.6185551,
